"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Nevada"	"32"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	535	3359	15927.4
"Total"	"Nevada"	"32"	"Micropolitan (non-metro)"	"5"			535	3359	15927.4
	"Nevada"	"32"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	72	514	14007.8
"Total"	"Nevada"	"32"	"NonCore (non-metro)"	"6"			72	514	14007.8
"Total"	"Nevada"	"32"					4669	32991	14152.3
	"New Hampshire"	"33"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1051	6987	15042.2
"Total"	"New Hampshire"	"33"	"Large Fringe Metro"	"2"			1051	6987	15042.2
	"New Hampshire"	"33"	"Medium Metro"	"3"	"85+ years"	"85+"	1050	7088	14813.8
"Total"	"New Hampshire"	"33"	"Medium Metro"	"3"			1050	7088	14813.8
	"New Hampshire"	"33"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1499	10349	14484.5
"Total"	"New Hampshire"	"33"	"Micropolitan (non-metro)"	"5"			1499	10349	14484.5
	"New Hampshire"	"33"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	174	1232	14123.4
"Total"	"New Hampshire"	"33"	"NonCore (non-metro)"	"6"			174	1232	14123.4
"Total"	"New Hampshire"	"33"					3774	25656	14710.0
	"New Jersey"	"34"	"Large Central Metro"	"1"	"85+ years"	"85+"	4372	34267	12758.6
"Total"	"New Jersey"	"34"	"Large Central Metro"	"1"			4372	34267	12758.6
	"New Jersey"	"34"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	17593	130133	13519.2
"Total"	"New Jersey"	"34"	"Large Fringe Metro"	"2"			17593	130133	13519.2
	"New Jersey"	"34"	"Medium Metro"	"3"	"85+ years"	"85+"	2101	15360	13678.4
"Total"	"New Jersey"	"34"	"Medium Metro"	"3"			2101	15360	13678.4
	"New Jersey"	"34"	"Small Metro"	"4"	"85+ years"	"85+"	831	5861	14178.5
"Total"	"New Jersey"	"34"	"Small Metro"	"4"			831	5861	14178.5
"Total"	"New Jersey"	"34"					24897	185621	13412.8
	"New Mexico"	"35"	"Medium Metro"	"3"	"85+ years"	"85+"	2000	14656	13646.3
"Total"	"New Mexico"	"35"	"Medium Metro"	"3"			2000	14656	13646.3
	"New Mexico"	"35"	"Small Metro"	"4"	"85+ years"	"85+"	915	7095	12896.4
"Total"	"New Mexico"	"35"	"Small Metro"	"4"			915	7095	12896.4
	"New Mexico"	"35"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1313	9787	13415.8
"Total"	"New Mexico"	"35"	"Micropolitan (non-metro)"	"5"			1313	9787	13415.8
	"New Mexico"	"35"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	294	2251	13060.9
"Total"	"New Mexico"	"35"	"NonCore (non-metro)"	"6"			294	2251	13060.9
"Total"	"New Mexico"	"35"					4522	33789	13383.1
	"New York"	"36"	"Large Central Metro"	"1"	"85+ years"	"85+"	22816	188571	12099.4
"Total"	"New York"	"36"	"Large Central Metro"	"1"			22816	188571	12099.4
	"New York"	"36"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	15903	120569	13190.0
"Total"	"New York"	"36"	"Large Fringe Metro"	"2"			15903	120569	13190.0
	"New York"	"36"	"Medium Metro"	"3"	"85+ years"	"85+"	6121	43475	14079.4
"Total"	"New York"	"36"	"Medium Metro"	"3"			6121	43475	14079.4
	"New York"	"36"	"Small Metro"	"4"	"85+ years"	"85+"	2761	19800	13944.4
"Total"	"New York"	"36"	"Small Metro"	"4"			2761	19800	13944.4
	"New York"	"36"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3459	23606	14653.1
"Total"	"New York"	"36"	"Micropolitan (non-metro)"	"5"			3459	23606	14653.1
	"New York"	"36"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1275	8598	14829.0
"Total"	"New York"	"36"	"NonCore (non-metro)"	"6"			1275	8598	14829.0
"Total"	"New York"	"36"					52335	404619	12934.4
	"North Carolina"	"37"	"Large Central Metro"	"1"	"85+ years"	"85+"	2828	21517	13143.1
"Total"	"North Carolina"	"37"	"Large Central Metro"	"1"			2828	21517	13143.1
	"North Carolina"	"37"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2664	16751	15903.5
"Total"	"North Carolina"	"37"	"Large Fringe Metro"	"2"			2664	16751	15903.5
	"North Carolina"	"37"	"Medium Metro"	"3"	"85+ years"	"85+"	8594	59632	14411.7
"Total"	"North Carolina"	"37"	"Medium Metro"	"3"			8594	59632	14411.7
	"North Carolina"	"37"	"Small Metro"	"4"	"85+ years"	"85+"	1874	13597	13782.5
"Total"	"North Carolina"	"37"	"Small Metro"	"4"			1874	13597	13782.5
	"North Carolina"	"37"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	4035	28794	14013.3
"Total"	"North Carolina"	"37"	"Micropolitan (non-metro)"	"5"			4035	28794	14013.3
	"North Carolina"	"37"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1982	13442	14744.8
"Total"	"North Carolina"	"37"	"NonCore (non-metro)"	"6"			1982	13442	14744.8
"Total"	"North Carolina"	"37"					21977	153733	14295.6
	"North Dakota"	"38"	"Small Metro"	"4"	"85+ years"	"85+"	814	6199	13131.2
"Total"	"North Dakota"	"38"	"Small Metro"	"4"			814	6199	13131.2
	"North Dakota"	"38"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	542	4295	12619.3
"Total"	"North Dakota"	"38"	"Micropolitan (non-metro)"	"5"			542	4295	12619.3
	"North Dakota"	"38"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	928	6722	13805.4
"Total"	"North Dakota"	"38"	"NonCore (non-metro)"	"6"			928	6722	13805.4
"Total"	"North Dakota"	"38"					2284	17216	13266.7
	"Ohio"	"39"	"Large Central Metro"	"1"	"85+ years"	"85+"	9705	67158	14451.0
"Total"	"Ohio"	"39"	"Large Central Metro"	"1"			9705	67158	14451.0
	"Ohio"	"39"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	5750	38646	14878.6
"Total"	"Ohio"	"39"	"Large Fringe Metro"	"2"			5750	38646	14878.6
	"Ohio"	"39"	"Medium Metro"	"3"	"85+ years"	"85+"	10287	69586	14783.1
"Total"	"Ohio"	"39"	"Medium Metro"	"3"			10287	69586	14783.1
	"Ohio"	"39"	"Small Metro"	"4"	"85+ years"	"85+"	1928	12614	15284.6
"Total"	"Ohio"	"39"	"Small Metro"	"4"			1928	12614	15284.6
	"Ohio"	"39"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	6280	41833	15012.1
"Total"	"Ohio"	"39"	"Micropolitan (non-metro)"	"5"			6280	41833	15012.1
	"Ohio"	"39"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1338	9237	14485.2
"Total"	"Ohio"	"39"	"NonCore (non-metro)"	"6"			1338	9237	14485.2
"Total"	"Ohio"	"39"					35288	239074	14760.3
	"Oklahoma"	"40"	"Large Central Metro"	"1"	"85+ years"	"85+"	1904	12314	15462.1
"Total"	"Oklahoma"	"40"	"Large Central Metro"	"1"			1904	12314	15462.1
	"Oklahoma"	"40"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1012	6991	14475.8
"Total"	"Oklahoma"	"40"	"Large Fringe Metro"	"2"			1012	6991	14475.8
	"Oklahoma"	"40"	"Medium Metro"	"3"	"85+ years"	"85+"	2613	17271	15129.4
"Total"	"Oklahoma"	"40"	"Medium Metro"	"3"			2613	17271	15129.4
	"Oklahoma"	"40"	"Small Metro"	"4"	"85+ years"	"85+"	221	1540	14350.6
"Total"	"Oklahoma"	"40"	"Small Metro"	"4"			221	1540	14350.6
	"Oklahoma"	"40"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2372	15278	15525.6
"Total"	"Oklahoma"	"40"	"Micropolitan (non-metro)"	"5"			2372	15278	15525.6
	"Oklahoma"	"40"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1706	11003	15504.9
"Total"	"Oklahoma"	"40"	"NonCore (non-metro)"	"6"			1706	11003	15504.9
"Total"	"Oklahoma"	"40"					9828	64397	15261.6
	"Oregon"	"41"	"Large Central Metro"	"1"	"85+ years"	"85+"	1778	13067	13606.8
"Total"	"Oregon"	"41"	"Large Central Metro"	"1"			1778	13067	13606.8
	"Oregon"	"41"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2635	19974	13192.1
"Total"	"Oregon"	"41"	"Large Fringe Metro"	"2"			2635	19974	13192.1
	"Oregon"	"41"	"Medium Metro"	"3"	"85+ years"	"85+"	2267	16351	13864.6
"Total"	"Oregon"	"41"	"Medium Metro"	"3"			2267	16351	13864.6
	"Oregon"	"41"	"Small Metro"	"4"	"85+ years"	"85+"	2305	15787	14600.6
"Total"	"Oregon"	"41"	"Small Metro"	"4"			2305	15787	14600.6
	"Oregon"	"41"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2002	13532	14794.6
"Total"	"Oregon"	"41"	"Micropolitan (non-metro)"	"5"			2002	13532	14794.6
	"Oregon"	"41"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	322	2286	14085.7
"Total"	"Oregon"	"41"	"NonCore (non-metro)"	"6"			322	2286	14085.7
"Total"	"Oregon"	"41"					11309	80997	13962.2
	"Pennsylvania"	"42"	"Large Central Metro"	"1"	"85+ years"	"85+"	9131	64543	14147.2
"Total"	"Pennsylvania"	"42"	"Large Central Metro"	"1"			9131	64543	14147.2
	"Pennsylvania"	"42"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	13573	93491	14518.0
"Total"	"Pennsylvania"	"42"	"Large Fringe Metro"	"2"			13573	93491	14518.0
	"Pennsylvania"	"42"	"Medium Metro"	"3"	"85+ years"	"85+"	12948	90488	14309.1
"Total"	"Pennsylvania"	"42"	"Medium Metro"	"3"			12948	90488	14309.1
	"Pennsylvania"	"42"	"Small Metro"	"4"	"85+ years"	"85+"	4125	28445	14501.7
"Total"	"Pennsylvania"	"42"	"Small Metro"	"4"			4125	28445	14501.7
	"Pennsylvania"	"42"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	4426	29113	15202.8
"Total"	"Pennsylvania"	"42"	"Micropolitan (non-metro)"	"5"			4426	29113	15202.8
	"Pennsylvania"	"42"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1543	10259	15040.5
"Total"	"Pennsylvania"	"42"	"NonCore (non-metro)"	"6"			1543	10259	15040.5
"Total"	"Pennsylvania"	"42"					45746	316339	14461.1
	"Rhode Island"	"44"	"Large Central Metro"	"1"	"85+ years"	"85+"	2156	15943	13523.2
"Total"	"Rhode Island"	"44"	"Large Central Metro"	"1"			2156	15943	13523.2
	"Rhode Island"	"44"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1683	11565	14552.5
"Total"	"Rhode Island"	"44"	"Large Fringe Metro"	"2"			1683	11565	14552.5
"Total"	"Rhode Island"	"44"					3839	27508	13955.9
	"South Carolina"	"45"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	721	4685	15389.5
"Total"	"South Carolina"	"45"	"Large Fringe Metro"	"2"			721	4685	15389.5
	"South Carolina"	"45"	"Medium Metro"	"3"	"85+ years"	"85+"	6960	46759	14884.8
"Total"	"South Carolina"	"45"	"Medium Metro"	"3"			6960	46759	14884.8
	"South Carolina"	"45"	"Small Metro"	"4"	"85+ years"	"85+"	1231	8716	14123.5
"Total"	"South Carolina"	"45"	"Small Metro"	"4"			1231	8716	14123.5
	"South Carolina"	"45"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1227	8281	14817.1
"Total"	"South Carolina"	"45"	"Micropolitan (non-metro)"	"5"			1227	8281	14817.1
	"South Carolina"	"45"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	801	5163	15514.2
"Total"	"South Carolina"	"45"	"NonCore (non-metro)"	"6"			801	5163	15514.2
"Total"	"South Carolina"	"45"					10940	73604	14863.3
	"South Dakota"	"46"	"Small Metro"	"4"	"85+ years"	"85+"	1025	7236	14165.3
"Total"	"South Dakota"	"46"	"Small Metro"	"4"			1025	7236	14165.3
	"South Dakota"	"46"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	805	5974	13475.1
"Total"	"South Dakota"	"46"	"Micropolitan (non-metro)"	"5"			805	5974	13475.1
	"South Dakota"	"46"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	958	6655	14395.2
"Total"	"South Dakota"	"46"	"NonCore (non-metro)"	"6"			958	6655	14395.2
"Total"	"South Dakota"	"46"					2788	19865	14034.7
	"Tennessee"	"47"	"Large Central Metro"	"1"	"85+ years"	"85+"	3159	22458	14066.3
"Total"	"Tennessee"	"47"	"Large Central Metro"	"1"			3159	22458	14066.3
	"Tennessee"	"47"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2272	14367	15814.0
"Total"	"Tennessee"	"47"	"Large Fringe Metro"	"2"			2272	14367	15814.0
	"Tennessee"	"47"	"Medium Metro"	"3"	"85+ years"	"85+"	4482	29868	15006.0
"Total"	"Tennessee"	"47"	"Medium Metro"	"3"			4482	29868	15006.0
	"Tennessee"	"47"	"Small Metro"	"4"	"85+ years"	"85+"	1482	10059	14733.1
"Total"	"Tennessee"	"47"	"Small Metro"	"4"			1482	10059	14733.1
	"Tennessee"	"47"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2462	15232	16163.3
"Total"	"Tennessee"	"47"	"Micropolitan (non-metro)"	"5"			2462	15232	16163.3
	"Tennessee"	"47"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1907	12187	15647.8
"Total"	"Tennessee"	"47"	"NonCore (non-metro)"	"6"			1907	12187	15647.8
"Total"	"Tennessee"	"47"					15764	104171	15132.8
	"Texas"	"48"	"Large Central Metro"	"1"	"85+ years"	"85+"	17314	128052	13521.1
"Total"	"Texas"	"48"	"Large Central Metro"	"1"			17314	128052	13521.1
	"Texas"	"48"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	7187	48822	14720.8
"Total"	"Texas"	"48"	"Large Fringe Metro"	"2"			7187	48822	14720.8
	"Texas"	"48"	"Medium Metro"	"3"	"85+ years"	"85+"	7587	58205	13035.0
"Total"	"Texas"	"48"	"Medium Metro"	"3"			7587	58205	13035.0
	"Texas"	"48"	"Small Metro"	"4"	"85+ years"	"85+"	4186	28445	14716.1
"Total"	"Texas"	"48"	"Small Metro"	"4"			4186	28445	14716.1
	"Texas"	"48"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	4075	28924	14088.6
"Total"	"Texas"	"48"	"Micropolitan (non-metro)"	"5"			4075	28924	14088.6
	"Texas"	"48"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	4429	30356	14590.2
"Total"	"Texas"	"48"	"NonCore (non-metro)"	"6"			4429	30356	14590.2
"Total"	"Texas"	"48"					44778	322804	13871.6
	"Utah"	"49"	"Large Central Metro"	"1"	"85+ years"	"85+"	1772	12392	14299.5
"Total"	"Utah"	"49"	"Large Central Metro"	"1"			1772	12392	14299.5
	"Utah"	"49"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	63	477	13207.5
"Total"	"Utah"	"49"	"Large Fringe Metro"	"2"			63	477	13207.5
	"Utah"	"49"	"Medium Metro"	"3"	"85+ years"	"85+"	1840	11785	15613.1
"Total"	"Utah"	"49"	"Medium Metro"	"3"			1840	11785	15613.1
	"Utah"	"49"	"Small Metro"	"4"	"85+ years"	"85+"	582	4287	13575.9
"Total"	"Utah"	"49"	"Small Metro"	"4"			582	4287	13575.9
	"Utah"	"49"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	272	1625	16738.5
"Total"	"Utah"	"49"	"Micropolitan (non-metro)"	"5"			272	1625	16738.5
	"Utah"	"49"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	321	2138	15014.0
"Total"	"Utah"	"49"	"NonCore (non-metro)"	"6"			321	2138	15014.0
"Total"	"Utah"	"49"					4850	32704	14830.0
	"Vermont"	"50"	"Small Metro"	"4"	"85+ years"	"85+"	481	3584	13420.8
"Total"	"Vermont"	"50"	"Small Metro"	"4"			481	3584	13420.8
	"Vermont"	"50"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	890	6098	14594.9
"Total"	"Vermont"	"50"	"Micropolitan (non-metro)"	"5"			890	6098	14594.9
	"Vermont"	"50"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	516	3655	14117.6
"Total"	"Vermont"	"50"	"NonCore (non-metro)"	"6"			516	3655	14117.6
"Total"	"Vermont"	"50"					1887	13337	14148.6
	"Virginia"	"51"	"Large Central Metro"	"1"	"85+ years"	"85+"	2442	18333	13320.2
"Total"	"Virginia"	"51"	"Large Central Metro"	"1"			2442	18333	13320.2
	"Virginia"	"51"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	7832	57502	13620.4
"Total"	"Virginia"	"51"	"Large Fringe Metro"	"2"			7832	57502	13620.4
	"Virginia"	"51"	"Medium Metro"	"3"	"85+ years"	"85+"	2171	14399	15077.4
"Total"	"Virginia"	"51"	"Medium Metro"	"3"			2171	14399	15077.4
	"Virginia"	"51"	"Small Metro"	"4"	"85+ years"	"85+"	1955	13923	14041.5
"Total"	"Virginia"	"51"	"Small Metro"	"4"			1955	13923	14041.5
	"Virginia"	"51"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1056	6294	16777.9
"Total"	"Virginia"	"51"	"Micropolitan (non-metro)"	"5"			1056	6294	16777.9
	"Virginia"	"51"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2703	17596	15361.4
"Total"	"Virginia"	"51"	"NonCore (non-metro)"	"6"			2703	17596	15361.4
"Total"	"Virginia"	"51"					18159	128047	14181.5
	"Washington"	"53"	"Large Central Metro"	"1"	"85+ years"	"85+"	4548	35479	12818.9
"Total"	"Washington"	"53"	"Large Central Metro"	"1"			4548	35479	12818.9
	"Washington"	"53"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	4093	29596	13829.6
"Total"	"Washington"	"53"	"Large Fringe Metro"	"2"			4093	29596	13829.6
	"Washington"	"53"	"Medium Metro"	"3"	"85+ years"	"85+"	3368	23532	14312.4
"Total"	"Washington"	"53"	"Medium Metro"	"3"			3368	23532	14312.4
	"Washington"	"53"	"Small Metro"	"4"	"85+ years"	"85+"	2598	18229	14252.0
"Total"	"Washington"	"53"	"Small Metro"	"4"			2598	18229	14252.0
	"Washington"	"53"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1738	11957	14535.4
"Total"	"Washington"	"53"	"Micropolitan (non-metro)"	"5"			1738	11957	14535.4
	"Washington"	"53"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	527	3813	13821.1
"Total"	"Washington"	"53"	"NonCore (non-metro)"	"6"			527	3813	13821.1
"Total"	"Washington"	"53"					16872	122606	13761.2
	"West Virginia"	"54"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	110	693	15873.0
"Total"	"West Virginia"	"54"	"Large Fringe Metro"	"2"			110	693	15873.0
	"West Virginia"	"54"	"Medium Metro"	"3"	"85+ years"	"85+"	852	5082	16765.1
"Total"	"West Virginia"	"54"	"Medium Metro"	"3"			852	5082	16765.1
	"West Virginia"	"54"	"Small Metro"	"4"	"85+ years"	"85+"	2492	15972	15602.3
"Total"	"West Virginia"	"54"	"Small Metro"	"4"			2492	15972	15602.3
	"West Virginia"	"54"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1092	6789	16084.8
"Total"	"West Virginia"	"54"	"Micropolitan (non-metro)"	"5"			1092	6789	16084.8
	"West Virginia"	"54"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1335	8358	15972.7
"Total"	"West Virginia"	"54"	"NonCore (non-metro)"	"6"			1335	8358	15972.7
"Total"	"West Virginia"	"54"					5881	36894	15940.3
	"Wisconsin"	"55"	"Large Central Metro"	"1"	"85+ years"	"85+"	2698	19257	14010.5
"Total"	"Wisconsin"	"55"	"Large Central Metro"	"1"			2698	19257	14010.5
	"Wisconsin"	"55"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2545	17844	14262.5
"Total"	"Wisconsin"	"55"	"Large Fringe Metro"	"2"			2545	17844	14262.5
	"Wisconsin"	"55"	"Medium Metro"	"3"	"85+ years"	"85+"	2542	17340	14659.7
"Total"	"Wisconsin"	"55"	"Medium Metro"	"3"			2542	17340	14659.7
	"Wisconsin"	"55"	"Small Metro"	"4"	"85+ years"	"85+"	4260	29441	14469.6
"Total"	"Wisconsin"	"55"	"Small Metro"	"4"			4260	29441	14469.6
	"Wisconsin"	"55"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2658	18794	14142.8
"Total"	"Wisconsin"	"55"	"Micropolitan (non-metro)"	"5"			2658	18794	14142.8
	"Wisconsin"	"55"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2873	19286	14896.8
"Total"	"Wisconsin"	"55"	"NonCore (non-metro)"	"6"			2873	19286	14896.8
"Total"	"Wisconsin"	"55"					17576	121962	14411.0
	"Wyoming"	"56"	"Small Metro"	"4"	"85+ years"	"85+"	405	2866	14131.2
"Total"	"Wyoming"	"56"	"Small Metro"	"4"			405	2866	14131.2
	"Wyoming"	"56"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	412	2862	14395.5
"Total"	"Wyoming"	"56"	"Micropolitan (non-metro)"	"5"			412	2862	14395.5
	"Wyoming"	"56"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	434	3205	13541.3
"Total"	"Wyoming"	"56"	"NonCore (non-metro)"	"6"			434	3205	13541.3
"Total"	"Wyoming"	"56"					1251	8933	14004.3
"Total"							790545	5737173	13779.3
