"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Micropolitan (non-metro)"	"5"	"5-9 years"	"5-9"	223	1715834	13.0
	"Micropolitan (non-metro)"	"5"	"10-14 years"	"10-14"	305	1727606	17.7
	"Micropolitan (non-metro)"	"5"	"15-19 years"	"15-19"	981	1835899	53.4
	"Micropolitan (non-metro)"	"5"	"20-24 years"	"20-24"	1787	2014892	88.7
	"Micropolitan (non-metro)"	"5"	"25-29 years"	"25-29"	2000	1640050	121.9
	"Micropolitan (non-metro)"	"5"	"30-34 years"	"30-34"	2531	1630300	155.2
	"Micropolitan (non-metro)"	"5"	"35-39 years"	"35-39"	2955	1536967	192.3
	"Micropolitan (non-metro)"	"5"	"40-44 years"	"40-44"	4269	1617283	264.0
	"Micropolitan (non-metro)"	"5"	"45-49 years"	"45-49"	6708	1685140	398.1
	"Micropolitan (non-metro)"	"5"	"50-54 years"	"50-54"	11635	1930941	602.6
	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	16719	1943369	860.3
	"Micropolitan (non-metro)"	"5"	"60-64 years "	"60-64"	20810	1759843	1182.5
	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	24706	1492805	1655.0
	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	28504	1116136	2553.8
	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	32177	805457	3994.9
	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	37380	570752	6549.3
	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	39501	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	29890	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	12069	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"100+ years"	"100+"	2572	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	1443	211581	682.0
	"NonCore (non-metro)"	"6"	"1-4 years"	"1-4"	318	873537	36.4
	"NonCore (non-metro)"	"6"	"5-9 years"	"5-9"	220	1166428	18.9
	"NonCore (non-metro)"	"6"	"10-14 years"	"10-14"	238	1192173	20.0
