eis,FIPS,eff_height,ap3.assignment,easiur.assignment
6330411,55079,448.4598129,Medium,Tall 300
6330511,55079,310.3771783,Medium,Tall 300
6330711,55079,65.58891355,Low,Area
6330811,55079,18.35097248,Low,Area
6330911,55079,88.18825597,Low,Med 150
6331211,55079,66.28311331,Low,Area
6331511,55079,11.75798893,Low,Area
6331911,55079,14.66212646,Low,Area
6332011,55079,106.4312162,Low,Med 150
6333111,26137,57.18754211,Low,Area
6333211,26137,56.57794211,Low,Area
6333311,26137,58.09857832,Low,Area
6333611,26137,6.302522699,Low,Area
6333811,26137,7.216922699,Low,Area
6334611,26137,61.77847897,Low,Area
6334711,26137,48.7836903,Low,Area
6334811,26137,52.09531032,Low,Area
6335011,26137,351.0879466,Medium,Tall 300
6336011,26139,111.8352477,Low,Med 150
6336811,26139,289.458112,Medium,Tall 300
6337011,26139,54.71079049,Low,Area
6338411,29031,106.8044569,Low,Med 150
6338811,29031,78.85908635,Low,Med 150
6339311,29031,95.92624841,Low,Med 150
6339511,37151,45.93165123,Low,Area
6339711,37151,43.75237581,Low,Area
6339811,37153,74.67270148,Low,Area
6340011,37153,111.0724101,Low,Med 150
6340111,37153,74.08146406,Low,Area
6340511,54097,80.24818082,Low,Med 150
6340611,54097,97.65640715,Low,Med 150
6340711,54097,165.3402722,Low,Med 150
6341111,54099,124.7911322,Low,Med 150
6341211,54099,80.61758179,Low,Med 150
6341311,54099,60.32695933,Low,Area
6341411,54099,109.5149802,Low,Med 150
6341511,54099,79.341509,Low,Med 150
6341811,54099,271.4226383,Medium,Tall 300
6341911,54099,442.8884361,Medium,Tall 300
6342511,54103,0,Low,Area
6342611,54103,0,Low,Area
6342711,54103,165.3185024,Low,Med 150
6342811,54103,30.92470458,Low,Area
6342911,54103,0,Low,Area
6343111,26147,65.0398401,Low,Area
6343911,26147,62.3112876,Low,Area
6344311,26149,137.00673,Low,Med 150
6344511,26149,71.0904746,Low,Area
6344611,26149,62.99396558,Low,Area
6344711,26149,101.8723391,Low,Med 150
6345011,29019,78.31012442,Low,Med 150
6345611,29019,331.9417095,Medium,Tall 300
6346411,29021,208.7675503,Low,Med 150
6346611,29021,115.5482855,Low,Med 150
6347311,29021,75.20680819,Low,Med 150
6347511,29021,63.98477937,Low,Area
6347611,29021,66.99685721,Low,Area
6347711,29021,59.26840639,Low,Area
6347811,26139,42.02088956,Low,Area
6348011,26139,129.3432204,Low,Med 150
6348211,26139,43.57378942,Low,Area
6348411,26139,171.4083143,Low,Med 150
6349811,26139,77.61069192,Low,Med 150
6356611,26149,108.1892995,Low,Med 150
6356811,26149,69.66363854,Low,Area
6358111,26149,20.58584673,Low,Area
6358211,26149,46.19891527,Low,Area
6358511,26149,94.63024188,Low,Med 150
6358811,26149,34.61002701,Low,Area
6359111,26149,50.42250017,Low,Area
6359611,26151,34.34995634,Low,Area
6361211,29021,26.8560421,Low,Area
6361411,55097,50.62025338,Low,Area
6361611,55097,135.4347681,Low,Med 150
6362111,48245,60.11444772,Low,Area
6362311,48245,268.981417,Medium,Tall 300
6362411,48245,16.13135479,Low,Area
6362511,48245,12.16895479,Low,Area
6364211,48251,209.605608,Low,Med 150
6364311,48251,16.27460489,Low,Area
6365111,48255,35.8621706,Low,Area
6371611,39093,58.34662805,Low,Area
6373511,36033,285.3864934,Medium,Tall 300
6378411,48257,157.2327314,Low,Med 150
6379311,48263,34.15530857,Low,Area
6380311,48279,51.02836451,Low,Area
6380511,48285,33.37144577,Low,Area
6380611,48285,134.0826621,Low,Med 150
6381111,48287,36.18421935,Low,Area
6381211,48291,15.67341222,Low,Area
6381511,48291,8.531903943,Low,Area
6381911,48297,45.09116158,Low,Area
6382011,48297,24.73476439,Low,Area
6382211,48303,176.0506349,Low,Med 150
6385111,48245,22.25072112,Low,Area
6385211,48245,119.6676688,Low,Med 150
6385311,48245,75.06401781,Low,Med 150
6385411,48245,37.81370577,Low,Area
6385511,48235,67.22893058,Low,Area
6385711,48237,54.29254718,Low,Area
6385811,48259,84.85036789,Low,Med 150
6386011,48245,59.16356917,Low,Area
6386111,48245,35.70941888,Low,Area
6386211,48245,74.77979802,Low,Area
6386311,48245,67.68820997,Low,Area
6386611,48321,62.75005823,Low,Area
6387711,48015,104.547526,Low,Med 150
6387911,48029,65.44568763,Low,Area
6388211,48085,73.53231084,Low,Area
6388311,48039,138.4448994,Low,Med 150
6388711,48109,97.22717459,Low,Med 150
6388811,48121,47.45427552,Low,Area
6389111,48139,335.8390947,Medium,Tall 300
6389311,48071,44.56050211,Low,Area
6389911,48161,20.05879819,Low,Area
6390511,48203,23.17885296,Low,Area
6396611,25027,99.09353319,Low,Med 150
6396911,22019,156.2212298,Low,Med 150
6397411,22019,587.1067931,Medium,Tall 300
6399311,25017,95.56375697,Low,Med 150
6399611,25017,25.90036851,Low,Area
6399811,25017,74.6990411,Low,Area
6399911,25017,145.3435909,Low,Med 150
6400011,25017,221.3437918,Low,Med 150
6401111,25025,37.93049978,Low,Area
6401311,25025,138.6674995,Low,Med 150
6401511,25025,279.4761093,Medium,Tall 300
6401711,25025,145.2282261,Low,Med 150
6402011,25025,81.9461966,Low,Med 150
6402211,25025,218.7463895,Low,Med 150
6402911,25025,100.0602898,Low,Med 150
6403011,25025,142.7898498,Low,Med 150
6403511,25025,69.00424872,Low,Area
6404611,25025,122.7646758,Low,Med 150
6404711,25025,222.709129,Low,Med 150
6405611,25025,16.21976747,Low,Area
6406011,25025,155.1511657,Low,Med 150
6406111,25025,78.50941789,Low,Med 150
6406311,25025,165.8413976,Low,Med 150
6406411,25025,132.9201678,Low,Med 150
6406911,25025,77.67017671,Low,Med 150
6407611,26049,47.58535511,Low,Area
6408011,25021,149.8589879,Low,Med 150
6410611,25021,45.34865819,Low,Area
6411011,21113,18.58605302,Low,Area
6411111,21113,107.568794,Low,Med 150
6411211,21113,71.31775361,Low,Area
6411311,21113,53.10504369,Low,Area
6411411,21113,24.42853565,Low,Area
6411511,21113,64.92721335,Low,Area
6411611,21113,25.86191694,Low,Area
6412011,21115,57.82065418,Low,Area
6412611,24033,114.0495195,Low,Med 150
6412711,24033,49.02093112,Low,Area
6412911,24033,39.01645285,Low,Area
6413211,24033,67.64296729,Low,Area
6413311,24033,176.3953861,Low,Med 150
6413511,24033,186.2287531,Low,Med 150
6413611,24033,281.4495133,Medium,Tall 300
6414411,24035,43.54647334,Low,Area
6414611,24037,62.16723407,Low,Area
6414711,24037,102.9812401,Low,Med 150
6414911,24039,66.53574807,Low,Area
6415011,24039,112.4467704,Low,Med 150
