"eis","SCC","POLL","ANN_VALUE","STKHGT","STKDIAM","STKTEMP","STKFLOW","STKVEL","NAICS"
16380411,20200254,"VOC",2.994,6.096,0.3048,729.666666666667,3.52874914501663,48.37176,211111
16380511,20200254,"NOX",22.02,6.096,0.3048,751.888888888889,3.15779845466143,43.2776376,486210
16380611,20200254,"NOX",19.316,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211112
16380811,20200201,"NOX",5.98,6.096,0.4572,721.888888888889,12.9535414735104,78.9017472,486210
16381311,31000216,"VOC",0.053,6.096,0.9144,533,0.0500245411894272,0.0762,211111
16381411,20200253,"PM25-PRI",0.109,4.2672,0.21336,789.111111111111,0.803252660536627,22.466808,211111
16381511,31000404,"PM25-PRI",0.017,4.572,0.064008,358,0.0039162198836736,1.24968,211111
16381611,40400301,"VOC",0.013,6.7056,0.051816,294.111111111111,4.53069545472e-05,NA,211111
16381711,31000404,"PM25-PRI",0.017,4.572,0.06096,358,0.0039162198836736,1.3420344,211111
16381811,20200253,"NOX",49.6,3.048,0.1524,699.666666666667,0.666388845903514,36.5314992,486210
16381911,20200253,"VOC",9.618,4.8768,0.252984,773.555555555556,1.31295589919263,26.12136,211111
16382011,20200254,"VOC",0.696,7.0104,0.3048,729.666666666667,3.50940024374031,48.094392,211111
16382311,20200253,"NOX",4.9,3.048,0.1524,810.222222222222,0.474777240069427,25.908,211111
16382411,20200201,"NOX",29.93,10.3632,2.7432,770.777777777778,83.6276701488155,14.14272,486210
16382711,20200253,"VOC",6.607,5.1816,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16382811,20200254,"VOC",4.635,6.4008,0.3048,805.777777777778,4.1215170214656,56.388,211111
16382911,31000227,"VOC",3.068,7.9248,0.09144,373,0.0075492713014272,1.1497056,211111
16383011,20200252,"VOC",5.319,4.2672,0.4572,477.444444444444,0.926903834549914,5.644896,211111
16383111,20200253,"VOC",0.404,4.572,0.252984,1005.22222222222,0.531410933253427,10.571988,486210
16383211,20200253,"VOC",3.96,5.1816,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16383311,20200254,"VOC",5.349,7.0104,0.3048,729.666666666667,3.61086800013343,49.490376,486210
16383411,20200254,"SO2",0.002,6.096,0.3048,730.222222222222,3.62691515709711,49.706784,211111
16383511,20200253,"NOX",2.53,5.4864,0.3048,856.888888888889,1.47625065843471,20.2320144,486210
16383911,20200253,"NOX",69.321,3.9624,0.3048,814.666666666667,1.56544872519951,21.454872,211111
16384011,20200201,"NOX",26.94,10.3632,2.65176,732.444444444444,65.4600542667264,11.85672,486210
16384211,31000160,"VOC",1.25,15.24,0.6858,1273,0.559257720192,1.5139416,211111
16384311,30600903,"NOX",0.1,19.812,0.356616,810.777777777778,11.4437806588187,115.2144,211112
16384411,20200254,"VOC",2.666,6.096,0.3048,730.222222222222,4.67841311665183,64.117728,211111
16384611,31000227,"VOC",3.292,6.096,0.070104,533,0.111755266759987,28.956,211111
16384711,20200252,"NOX",8.092,4.2672,0.4572,477.444444444444,0.926903834549914,5.6458104,211111
16384811,20200253,"PM25-PRI",0.189,5.1816,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16384911,20200253,"NOX",15.999,5.7912,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16385011,20200253,"VOC",2.084,6.096,0.252984,880.222222222222,3.28805594898463,65.41008,211111
16385211,20200253,"PM25-PRI",0.195,6.096,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16385311,20200253,"NOX",18.568,5.4864,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16385411,20200254,"NOX",5.059,8.5344,0.70104,725.222222222222,10.4418371808,27.1107408,486210
16385611,20200102,"VOC",0.257,0.3048,0.048768,835.222222222222,0.238331571026227,NA,211112
16385711,20200253,"NOX",7.93,3.6576,0.09144,688.555555555556,0.60173299008,91.6308048,486210
16385811,20200253,"VOC",0.21,1.524,0.0762,820.777777777778,0.2166238764288,47.244,211111
16386011,20200254,"NOX",25.81,6.096,0.36576,766.888888888889,3.78548949801231,36.0279696,211111
16386111,20200254,"VOC",11.314,4.572,0.3048,730.222222222222,3.62691515709711,49.706784,211111
16386311,20200254,"NOX",17.548,6.7056,0.3048,729.666666666667,3.61086800013343,49.49952,211111
16386411,31000227,"VOC",3.962,6.096,0.347472,560.777777777778,0.346833232112794,3.6576,211111
16386511,20200253,"PM25-PRI",0.12,3.6576,0.1524,949.666666666667,1.04677754122783,57.381648,211111
16386611,20200253,"NOX",7.585,6.096,0.33528,766.333333333333,2.69198632822303,30.48,211111
16386711,20200253,"NOX",17.918,4.8768,0.252984,965.222222222222,1.4215056989184,28.28544,211111
