"eis","FIPS","eff_height","ap3.assignment","easiur.assignment"
947611,15003,0,"Low","Area"
947711,15003,0,"Low","Area"
947811,15003,0,"Low","Area"
948011,13045,130.62326932342,"Low","Med 150"
948411,16029,156.36078629642,"Low","Med 150"
948811,1073,177.751710670682,"Low","Med 150"
948911,1103,98.380383538822,"Low","Med 150"
949111,1117,220.543848124453,"Low","Med 150"
949211,1117,652.654958240256,"Medium","Tall 300"
949311,1117,260.386057146377,"Medium","Tall 300"
949511,1129,330.449999263042,"Medium","Tall 300"
949611,1115,99.3806012908942,"Low","Med 150"
949711,1117,294.909467497031,"Medium","Tall 300"
949811,1097,150.892111902997,"Low","Med 150"
949911,1097,365.198575590691,"Medium","Tall 300"
950011,1125,45.9309941063507,"Low","Area"
950611,1017,48.0949156480327,"Low","Area"
950811,1019,55.2980314292506,"Low","Area"
951911,1077,93.9652943449265,"Low","Med 150"
952111,1077,29.8196860660258,"Low","Area"
952511,1077,31.4022175377422,"Low","Area"
952611,1077,113.21955645149,"Low","Med 150"
953111,1081,259.499982423622,"Medium","Tall 300"
953211,1081,53.453434742901,"Low","Area"
953311,1081,310.442696435827,"Medium","Tall 300"
953411,1081,35.7780704670943,"Low","Area"
953511,1081,272.587533293679,"Medium","Tall 300"
953711,1081,37.5240209037742,"Low","Area"
954511,1085,105.899032706927,"Low","Med 150"
954811,1089,44.5373964192801,"Low","Area"
954911,1089,175.858587750489,"Low","Med 150"
955511,40009,53.6798071324993,"Low","Area"
955711,40009,69.5111259680624,"Low","Area"
956211,39173,28.7627372510832,"Low","Area"
958811,40011,63.7936948043402,"Low","Area"
959211,40005,91.6381825875167,"Low","Med 150"
962011,4013,46.820588991935,"Low","Area"
963911,1021,233.371129554287,"Low","Tall 300"
964111,1021,51.7212107126683,"Low","Area"
964311,1023,103.161626600382,"Low","Med 150"
964411,1023,60.5763880044454,"Low","Area"
964911,1027,14.0978952975062,"Low","Area"
965211,1029,129.182538365515,"Low","Med 150"
965411,1031,71.2023867844228,"Low","Area"
965511,1031,49.1093579604459,"Low","Area"
966211,1033,101.683273801571,"Low","Med 150"
966311,1033,104.641016880749,"Low","Med 150"
966611,1033,289.100213528065,"Medium","Tall 300"
967111,1035,26.0288717541258,"Low","Area"
967511,1037,220.697563585355,"Low","Med 150"
967611,1039,296.092868717784,"Medium","Tall 300"
968311,1039,58.0264127033985,"Low","Area"
