FIPS,PEC Annual Area,PEC Annual P150,PEC Annual P300,PEC Winter Area,PEC Winter P150,PEC Winter P300,PEC Spring Area,PEC Spring P150,PEC Spring P300,PEC Summer Area,PEC Summer P150,PEC Summer P300,PEC Fall Area,PEC Fall P150,PEC Fall P300,SO2 Annual Area,SO2 Annual P150,SO2 Annual P300,SO2 Winter Area,SO2 Winter P150,SO2 Winter P300,SO2 Spring Area,SO2 Spring P150,SO2 Spring P300,SO2 Summer Area,SO2 Summer P150,SO2 Summer P300,SO2 Fall Area,SO2 Fall P150,SO2 Fall P300,NOX Annual Area,NOX Annual P150,NOX Annual P300,NOX Winter Area,NOX Winter P150,NOX Winter P300,NOX Spring Area,NOX Spring P150,NOX Spring P300,NOX Summer Area,NOX Summer P150,NOX Summer P300,NOX Fall Area,NOX Fall P150,NOX Fall P300,NH3 Annual Area,NH3 Annual P150,NH3 Annual P300,NH3 Winter Area,NH3 Winter P150,NH3 Winter P300,NH3 Spring Area,NH3 Spring P150,NH3 Spring P300,NH3 Summer Area,NH3 Summer P150,NH3 Summer P300,NH3 Fall Area,NH3 Fall P150,NH3 Fall P300
47099,104671.7384,63273.50702,53337.09083,117780.2149,78675.72174,65236.49014,89299.09277,50254.74013,44280.37713,91940.99441,49248.27563,43439.26847,119666.6515,74915.29058,60392.2276,19697.94663,19591.08279,18716.77635,21551.82266,19373.55385,18342.35432,22989.50572,23765.81172,23131.23665,23301.35841,23369.37634,21338.50504,10949.09972,11855.58927,12055.00939,5653.229924,4275.758379,3801.714689,11363.98805,9235.03822,7952.105782,5862.483351,3993.095396,3479.364672,2494.284844,1653.873441,1610.653824,2892.163444,2221.026459,2164.734477,64192.83414,46902.11819,41413.30585,78736.09938,64503.34715,52242.82973,48070.3326,32509.84268,29689.95008,56357.22716,37522.47333,37990.00556,73607.67743,53072.80961,45730.43805
47101,104807.2228,63577.9746,53736.22401,117314.4552,78073.39737,64845.72842,89007.67555,50978.04197,45098.8108,93066.21074,50143.3069,44332.09863,119840.5496,75117.15218,60668.25817,20153.6528,20087.14946,18810.81288,21341.43603,19216.40233,17594.42094,22896.74175,24001.28471,23287.54953,24661.76327,24569.46636,22015.60542,11714.67016,12561.44444,12345.67565,5730.022546,4494.376585,4015.267419,11133.66434,9380.704203,8078.929279,6012.958679,4199.261529,3648.957252,2454.6992,1793.711297,1750.522444,3318.767968,2603.829313,2582.660701,63531.501,47719.7604,41627.7259,79736.52527,65290.46265,53172.77294,46107.31017,32150.40307,29479.041,53630.50033,38731.92504,36573.86898,74651.66823,54706.25084,47285.22068
47103,109503.083,64728.47027,54242.61056,122595.7755,79569.19719,65615.57784,94018.83097,51503.93804,45054.68909,95907.12637,50961.62882,44927.55692,125490.5992,76879.11703,61372.61838,18304.38383,18283.50714,17884.24184,20632.04974,18486.58905,16971.2359,21855.53152,22427.8661,21980.9377,22255.62881,22513.52491,20591.77706,8474.325261,9706.048522,11993.0167,5233.570643,3890.829489,3424.238619,11510.82619,8927.179981,7683.660493,6028.654992,4072.951966,3540.971466,1914.337631,1536.28644,1539.464177,1480.463763,1026.899567,932.858339,63937.45647,46731.6246,39721.5028,79903.7887,63225.32422,50492.68168,48326.56673,31415.41707,28632.43479,50835.9128,38338.29236,33944.57194,76683.55767,53947.46475,45816.32279
47105,137107.9202,75125.16441,61914.7894,152245.8783,88703.88508,71815.68722,123433.797,63086.45832,53856.94258,125537.539,63343.0928,55112.82107,147214.4665,85367.22144,66873.70673,18513.68466,18337.84833,17197.40239,16903.69214,15407.00763,14481.80759,21738.32714,22422.03514,21446.89907,25506.16327,24836.88422,21789.81989,9906.556088,10685.46632,11071.08299,5182.929096,3882.24035,3442.702782,10196.12105,7707.444756,6743.55193,5853.489713,4020.748262,3491.288038,1953.14365,1645.111259,1589.283419,2728.961973,2155.657123,1946.687743,92783.96334,58244.5527,46915.96446,105950.7401,67941.44014,52384.12083,80173.61914,42096.13492,36186.78308,98100.70666,67174.43279,53976.36577,86910.78752,55766.20294,45116.58817
47107,117325.9608,67147.77629,55753.29239,132883.9758,82077.82544,67175.97172,101143.4063,53822.27664,46570.35157,104884.7255,54362.29493,47531.25878,130391.7357,78328.70815,61735.58747,18064.90114,18013.29525,17261.32276,17799.35786,16021.64243,15296.79815,20786.13136,21792.71082,21059.02292,23724.59494,23439.3525,21237.08322,9949.520399,10799.47523,11452.38677,5059.750692,3746.981928,3338.326373,10706.35374,7852.155563,6850.602218,5452.22891,3775.718767,3289.223074,1599.79047,1446.953685,1503.932193,2480.629644,1913.099696,1709.548009,74578.04205,51337.98515,41950.10221,89604.71079,63221.97151,49734.2014,57975.61423,34198.22128,30485.61773,73145.58781,55763.37185,44513.22335,77586.25536,52168.37596,43067.36634
47109,91718.89465,57164.04491,48903.6033,103678.4254,72217.96622,60724.87315,76912.7108,43979.93392,39064.34514,78964.99832,42973.03292,38068.07016,107319.4441,69485.24659,57757.12475,19127.13822,19171.40216,18964.86799,19920.67869,18276.69113,20091.12125,23141.07606,24117.09149,23087.54212,22718.7721,22440.00058,20268.50523,10728.02602,11851.82544,12412.30334,4994.09217,3909.361439,3479.64512,10609.73092,8995.552501,7772.241773,4901.308217,3369.426961,2990.502522,1984.804482,1335.240262,1320.983773,2480.525063,1937.226033,1834.85241,57288.67274,42604.36614,38565.91099,66714.48109,56819.99309,47292.65756,44545.33248,30639.70966,28068.26418,56203.10825,36820.41705,37732.40538,61691.76914,46137.34475,41170.31684
47111,112129.5833,67315.80032,56690.05701,121103.569,81559.53889,67590.89272,96309.78398,53167.39495,46442.03821,103505.5826,55341.29291,48893.17758,127599.3977,79194.97454,63834.11953,20862.77847,20659.24059,19380.22894,20972.46888,19032.9947,17883.16017,23697.53249,24208.21002,23541.70567,26684.7816,26513.22455,23535.90498,12096.3309,12882.5331,12560.14496,6407.198935,4985.822471,4441.481604,12443.83142,10439.57845,8941.530007,6929.839157,4682.040645,4058.653366,2499.642611,1916.885327,1862.236729,3755.482549,2904.785459,2903.506313,67709.13672,51495.7209,44483.72257,79769.93949,68472.66374,55275.21235,48591.7031,32228.13809,29403.46508,60357.21983,45708.95339,41615.98347,82117.68445,59573.12839,51640.22938
47113,99620.24196,60943.58813,52096.01231,110716.8183,75041.81547,62915.82644,84893.85647,48268.25972,42773.12209,88443.02202,47376.77575,41794.01466,114427.2711,73087.5016,60901.08603,19813.54707,19816.76867,19425.85264,20541.75635,19000.75337,20406.04797,23460.75855,24281.26439,23338.51565,23636.06624,23204.0739,20950.12685,11615.60712,12780.98301,13008.7201,5459.324174,4331.380379,3841.299471,11057.20575,9747.482952,8374.814936,5488.990495,3774.629709,3330.692195,2410.465698,1525.988482,1414.714242,2880.634755,2277.420374,2244.976512,61589.31055,44961.1449,40681.46249,71639.71161,59408.56548,49069.66998,45999.67294,31723.80283,28995.9509,63752.86998,39268.7676,40773.2441,64964.98769,49443.44368,43886.98499
47115,114367.5403,66068.61268,54968.78316,129548.1214,82118.76259,67341.49068,99455.27916,52726.02731,45668.04321,99979.73099,51617.21606,45087.10707,128487.0297,77812.44476,61778.49167,18568.9302,18051.9908,16709.80643,20569.67801,18520.16148,16272.5428,21850.17845,21239.26582,20742.75898,21503.81949,21370.05761,18894.75471,10352.04486,11078.4783,10929.16921,5683.7425,4173.699479,3671.409533,11153.69612,8722.354298,7526.216765,6545.72309,4225.830146,3648.804619,2039.426322,1421.001191,1304.735436,2996.124471,2325.61228,2205.881313,73961.8307,50549.09172,43193.93646,86526.55834,65884.35389,52061.36303,61252.65331,36690.19723,32893.01052,68846.44676,45406.00615,42197.42357,79221.66441,54215.80962,45623.94871
47117,120537.0573,70137.18841,58752.10635,132741.298,84636.91036,69418.10811,106162.9958,57984.51333,50640.81814,108491.5469,56694.47958,49871.66707,134752.3885,81232.85039,65077.83208,19263.85326,19205.16399,18313.21667,21074.14399,18916.37057,17204.43739,22242.33805,22985.12416,22587.71323,23190.18712,23417.88652,21333.87648,10548.74386,11501.2747,12126.83957,5934.294523,4495.154869,3959.220414,12144.46507,9590.054285,8216.892008,6623.999184,4550.917378,3943.583245,2151.454814,1731.423018,1635.806756,2817.259019,2108.224796,2040.599646,68469.7324,49675.59821,41829.46752,87092.85908,67901.70572,53710.91918,49986.16791,32477.91023,29434.3971,55021.67146,41075.17678,35741.14891,81778.23114,57247.6001,48431.40488
47119,123195.5271,71600.50973,60082.81321,135172.9876,85821.38157,70384.14156,109395.6009,60214.94343,52675.75955,112258.3784,58352.40829,51284.75723,135955.1416,82013.30563,65986.59449,20188.84219,20034.23685,18929.24462,21674.89363,19547.25824,18208.24163,23368.14097,24026.84653,23418.17764,24454.9683,24428.3436,21996.33843,11257.36585,12134.49905,12094.22079,6151.757898,4791.80444,4228.482331,11758.78849,9903.021308,8474.272775,7014.562509,4852.761037,4198.006717,2611.997818,1917.274963,1729.075219,3221.682775,2494.160452,2512.574613,72662.22692,51733.1411,44079.11255,91423.42221,70823.78942,56161.65177,54047.68019,35014.70213,31471.1299,62625.71026,42810.74645,39245.11118,82552.095,58283.32641,49438.55733
47121,120995.7497,69138.04434,57279.7339,135258.2316,85104.86762,69647.12687,106012.5246,55443.63184,47653.86055,108751.949,55298.82663,47930.06137,133960.2935,80704.85128,63887.88679,18678.02292,18318.25826,17842.33614,18963.92366,17086.31358,17358.1838,22718.48384,22738.28161,22020.09589,23414.6827,22863.46551,20590.60149,9615.001464,10584.97232,11400.46338,5566.995078,4019.412439,3512.919166,11715.22902,8721.516103,7552.300797,6486.4101,4238.685379,3682.496427,1769.248503,1396.145297,1264.726042,2297.092688,1721.302976,1552.153398,78267.68711,53613.8274,44359.26327,89557.60586,65781.16865,51632.06096,61452.5649,35711.39903,31786.34038,81320.14564,58649.7175,48931.56397,80740.43202,54313.02442,45087.08776
47123,110629.9431,63294.81464,52433.51348,124867.6743,75612.21745,61974.82792,93365.65638,50297.05632,43652.98816,98239.49105,52138.79052,45987.13486,126046.9506,75131.19427,58119.10298,17652.84934,17746.85003,16459.19944,16947.27945,15260.01831,13348.90877,18830.0086,20433.04362,19636.44729,24182.04626,24142.60379,21649.29249,10652.06306,11151.73441,11202.14921,4548.526052,3537.928237,3237.913199,8763.762018,6614.756792,5845.033609,4533.92186,3314.941957,2878.153762,1591.314787,1542.258996,1808.097293,3305.105544,2679.755201,2420.368134,72416.81912,49088.81605,39819.59352,88062.6093,60228.70312,47712.12973,58940.04502,34106.34911,30174.0157,65863.52693,51493.03937,40546.31689,76801.09521,50527.17259,40845.91176
